Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1060699,-,-,-,25.77,-80.18,-5,0,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Temperature,Pressure
2005,1,1,0,30,0,0,17,0.1,6.4,22,1020
2005,1,1,1,30,0,0,17,0.1,6.1000000000000005,21,1020
2005,1,1,2,30,0,0,17,0.1,5.9,21,1020
2005,1,1,3,30,0,0,17,0.1,5.6000000000000005,21,1020
2005,1,1,4,30,0,0,16,0.1,5.1000000000000005,21,1020
2005,1,1,5,30,0,0,16,0.1,4.7,21,1020
2005,1,1,6,30,0,0,16,0.1,4.4,21,1020
2005,1,1,7,30,25,210,16,0.1,4.5,21,1020
2005,1,1,8,30,63,627,16,0.1,4.7,22,1020
2005,1,1,9,30,82,734,16,0.1,4.9,22,1020
2005,1,1,10,30,213,440,16,0.1,5,23,1020
2005,1,1,11,30,305,176,16,0.1,5.1000000000000005,23,1020
2005,1,1,12,30,95,910,16,0.1,5.1000000000000005,23,1020
2005,1,1,13,30,245,454,17,0.1,5,23,1020
2005,1,1,14,30,175,541,17,0.1,5,23,1020
2005,1,1,15,30,76,767,17,0.1,5,23,1020
2005,1,1,16,30,55,596,17,0.1,5.2,23,1020
2005,1,1,17,30,16,0,17,0.1,5.6000000000000005,22,1020
2005,1,1,18,30,0,0,17,0.1,5.9,22,1020
2005,1,1,19,30,0,0,17,0.1,6.300000000000001,22,1020
2005,1,1,20,30,0,0,17,0.1,6.7,22,1020
2005,1,1,21,30,0,0,17,0.1,7.1000000000000005,22,1020
2005,1,1,22,30,0,0,17,0.1,7.2,22,1020
2005,1,1,23,30,0,0,17,0.1,7.1000000000000005,21,1020
2005,1,2,0,30,0,0,17,0.1,6.9,21,1020
2005,1,2,1,30,0,0,17,0.1,6.800000000000001,21,1020
2005,1,2,2,30,0,0,17,0.1,6.7,21,1020
2005,1,2,3,30,0,0,16,0.1,6.6000000000000005,21,1020
2005,1,2,4,30,0,0,16,0.1,6.4,21,1020
2005,1,2,5,30,0,0,16,0.1,6.2,21,1020
2005,1,2,6,30,0,0,16,0.1,6.2,21,1020
2005,1,2,7,30,20,0,16,0.1,6.2,22,1020
2005,1,2,8,30,102,60,16,0.1,6.4,22,1020
2005,1,2,9,30,140,487,16,0.1,6.5,22,1020
2005,1,2,10,30,85,873,16,0.1,6.4,23,1020
2005,1,2,11,30,297,261,16,0.1,6.1000000000000005,23,1020
2005,1,2,12,30,284,44,16,0.1,5.800000000000001,23,1020
2005,1,2,13,30,257,33,16,0.1,5.5,23,1020
2005,1,2,14,30,242,248,16,0.1,5.4,23,1020
2005,1,2,15,30,79,0,16,0.1,5.6000000000000005,23,1020
2005,1,2,16,30,59,0,16,0.1,5.7,22,1020
2005,1,2,17,30,14,107,16,0.1,5.9,22,1020
2005,1,2,18,30,0,0,17,0.1,6.1000000000000005,22,1020
2005,1,2,19,30,0,0,17,0.1,6.300000000000001,22,1020
2005,1,2,20,30,0,0,17,0.1,6.4,22,1020
2005,1,2,21,30,0,0,17,0.1,6.4,22,1020
2005,1,2,22,30,0,0,17,0.1,6.4,22,1020
2005,1,2,23,30,0,0,17,0.1,6.1000000000000005,21,1020
2005,1,3,0,30,0,0,17,0.1,5.9,21,1020
2005,1,3,1,30,0,0,17,0.1,5.6000000000000005,21,1020
2005,1,3,2,30,0,0,17,0.1,5.6000000000000005,21,1020
2005,1,3,3,30,0,0,17,0.1,5.6000000000000005,21,1020
2005,1,3,4,30,0,0,17,0.1,5.6000000000000005,21,1020
2005,1,3,5,30,0,0,17,0.1,5.7,21,1020
2005,1,3,6,30,0,0,17,0.1,5.9,21,1020
2005,1,3,7,30,22,282,17,0.1,6.2,21,1020
2005,1,3,8,30,53,677,17,0.1,6.7,22,1020
2005,1,3,9,30,88,0,17,0.1,6.9,22,1020
2005,1,3,10,30,85,870,17,0.1,6.800000000000001,23,1020
2005,1,3,11,30,91,904,17,0.1,6.5,23,1020
2005,1,3,12,30,307,290,17,0.1,6.300000000000001,23,1020
2005,1,3,13,30,83,915,17,0.1,6.1000000000000005,23,1020
2005,1,3,14,30,221,370,17,0.1,5.9,23,1020
2005,1,3,15,30,154,19,17,0.1,5.9,23,1020
2005,1,3,16,30,49,643,17,0.1,5.9,22,1020
2005,1,3,17,30,14,170,18,0.1,5.9,22,1020
2005,1,3,18,30,0,0,18,0.1,6.1000000000000005,22,1020
2005,1,3,19,30,0,0,18,0.1,6.2,22,1020
2005,1,3,20,30,0,0,18,0.1,6.300000000000001,22,1020
2005,1,3,21,30,0,0,18,0.1,6.2,22,1020
2005,1,3,22,30,0,0,18,0.1,6.1000000000000005,22,1020
2005,1,3,23,30,0,0,18,0.1,6,21,1020
2005,1,4,0,30,0,0,18,0.1,5.9,21,1020
2005,1,4,1,30,0,0,18,0.1,5.7,21,1020
2005,1,4,2,30,0,0,18,0.1,5.6000000000000005,21,1020
2005,1,4,3,30,0,0,18,0.1,5.4,21,1020
2005,1,4,4,30,0,0,18,0.1,5.300000000000001,21,1020
2005,1,4,5,30,0,0,18,0.1,5.2,21,1020
2005,1,4,6,30,0,0,18,0.1,5.2,22,1020
2005,1,4,7,30,23,221,18,0.1,5.300000000000001,22,1020
2005,1,4,8,30,58,637,19,0.1,5.4,22,1020
2005,1,4,9,30,73,796,19,0.1,5.4,23,1020
2005,1,4,10,30,82,867,19,0.1,5.300000000000001,23,1020
2005,1,4,11,30,89,894,19,0.1,5.2,23,1020
2005,1,4,12,30,294,349,19,0.1,5.2,24,1020
2005,1,4,13,30,295,247,19,0.1,5.300000000000001,24,1020
2005,1,4,14,30,243,258,18,0.1,5.4,23,1020
2005,1,4,15,30,177,122,18,0.1,5.4,23,1020
2005,1,4,16,30,55,599,18,0.1,5.2,23,1020
2005,1,4,17,30,15,151,18,0.1,5.1000000000000005,22,1020
2005,1,4,18,30,0,0,18,0.1,5.1000000000000005,22,1020
2005,1,4,19,30,0,0,18,0.1,5.2,22,1020
2005,1,4,20,30,0,0,18,0.1,5.300000000000001,22,1020
2005,1,4,21,30,0,0,18,0.1,5.300000000000001,22,1020
2005,1,4,22,30,0,0,18,0.1,5.4,22,1020
2005,1,4,23,30,0,0,18,0.1,5.5,22,1020
2005,1,5,0,30,0,0,18,0.1,5.6000000000000005,22,1020
2005,1,5,1,30,0,0,18,0.1,5.6000000000000005,21,1020
2005,1,5,2,30,0,0,18,0.1,5.6000000000000005,21,1020
2005,1,5,3,30,0,0,18,0.1,5.4,21,1020
2005,1,5,4,30,0,0,18,0.1,5.1000000000000005,21,1020
2005,1,5,5,30,0,0,18,0.1,4.7,21,1020
2005,1,5,6,30,0,0,18,0.1,4.5,21,1020
2005,1,5,7,30,21,266,18,0.1,4.6000000000000005,22,1020
2005,1,5,8,30,53,657,19,0.1,4.800000000000001,23,1020
2005,1,5,9,30,70,800,19,0.1,4.9,23,1020
2005,1,5,10,30,83,859,19,0.1,5,23,1020
2005,1,5,11,30,284,335,19,0.1,4.9,24,1020
2005,1,5,12,30,316,247,19,0.1,4.6000000000000005,24,1020
2005,1,5,13,30,89,889,19,0.1,4.3,24,1020
2005,1,5,14,30,83,851,19,0.1,4,24,1010
2005,1,5,15,30,71,775,19,0.1,3.8000000000000003,23,1010
2005,1,5,16,30,53,612,19,0.1,3.7,23,1020
2005,1,5,17,30,15,159,19,0.1,3.8000000000000003,23,1020
2005,1,5,18,30,0,0,20,0.1,4,23,1020
2005,1,5,19,30,0,0,20,0.1,4.1000000000000005,23,1020
2005,1,5,20,30,0,0,20,0.1,4.4,23,1020
2005,1,5,21,30,0,0,20,0.1,4.6000000000000005,23,1020
2005,1,5,22,30,0,0,20,0.1,4.9,22,1020
2005,1,5,23,30,0,0,20,0.1,5.2,22,1020
2005,1,6,0,30,0,0,20,0.1,5.6000000000000005,22,1010
2005,1,6,1,30,0,0,20,0.1,6,22,1010
2005,1,6,2,30,0,0,20,0.1,6.2,22,1010
2005,1,6,3,30,0,0,20,0.1,6.1000000000000005,22,1010
2005,1,6,4,30,0,0,20,0.1,5.800000000000001,22,1010
2005,1,6,5,30,0,0,20,0.1,5.300000000000001,22,1010
2005,1,6,6,30,0,0,20,0.1,4.800000000000001,22,1020
2005,1,6,7,30,21,269,20,0.1,4.6000000000000005,22,1020
2005,1,6,8,30,53,663,20,0.1,4.6000000000000005,23,1020
2005,1,6,9,30,67,812,20,0.1,4.6000000000000005,23,1020
2005,1,6,10,30,88,847,20,0.1,4.5,24,1020
2005,1,6,11,30,93,886,20,0.1,4.3,24,1020
2005,1,6,12,30,92,899,20,0.1,4,24,1010
2005,1,6,13,30,304,141,20,0.1,3.6,24,1010
2005,1,6,14,30,92,826,20,0.1,3.4000000000000004,24,1010
2005,1,6,15,30,79,748,20,0.1,3.5,24,1010
2005,1,6,16,30,60,572,20,0.1,3.6,23,1010
2005,1,6,17,30,17,129,20,0.1,3.8000000000000003,23,1010
2005,1,6,18,30,0,0,20,0.1,3.9000000000000004,23,1020
2005,1,6,19,30,0,0,20,0.1,4,23,1020
2005,1,6,20,30,0,0,20,0.1,4,23,1020
2005,1,6,21,30,0,0,20,0.1,4.1000000000000005,23,1020
2005,1,6,22,30,0,0,20,0.1,4.4,23,1020
2005,1,6,23,30,0,0,20,0.1,4.6000000000000005,23,1020
2005,1,7,0,30,0,0,20,0.1,4.800000000000001,22,1020
2005,1,7,1,30,0,0,20,0.1,4.800000000000001,22,1020
2005,1,7,2,30,0,0,20,0.1,4.6000000000000005,22,1020
2005,1,7,3,30,0,0,20,0.1,4.3,22,1020
2005,1,7,4,30,0,0,19,0.1,4.1000000000000005,22,1020
2005,1,7,5,30,0,0,19,0.1,3.9000000000000004,22,1020
2005,1,7,6,30,0,0,19,0.1,3.9000000000000004,22,1020
2005,1,7,7,30,20,293,19,0.1,4,22,1020
2005,1,7,8,30,50,684,19,0.1,4.3,23,1020
2005,1,7,9,30,64,829,19,0.1,4.4,23,1020
2005,1,7,10,30,84,865,19,0.1,4.5,24,1020
2005,1,7,11,30,86,908,19,0.1,4.5,24,1020
2005,1,7,12,30,84,927,19,0.1,4.5,24,1020
2005,1,7,13,30,96,887,19,0.1,4.3,24,1020
2005,1,7,14,30,86,861,19,0.1,4,24,1020
2005,1,7,15,30,72,795,19,0.1,3.7,24,1020
2005,1,7,16,30,53,647,18,0.1,3.4000000000000004,23,1020
2005,1,7,17,30,17,216,18,0.1,3.4000000000000004,23,1020
2005,1,7,18,30,0,0,18,0.1,3.6,23,1020
2005,1,7,19,30,0,0,18,0.1,3.9000000000000004,23,1020
2005,1,7,20,30,0,0,19,0.1,4.1000000000000005,23,1020
2005,1,7,21,30,0,0,19,0.1,4.3,23,1020
2005,1,7,22,30,0,0,19,0.1,4.4,23,1020
2005,1,7,23,30,0,0,19,0.1,4.4,23,1020
2005,1,8,0,30,0,0,19,0.1,4.3,23,1020
2005,1,8,1,30,0,0,19,0.1,4.1000000000000005,22,1020
2005,1,8,2,30,0,0,20,0.1,3.9000000000000004,22,1020
2005,1,8,3,30,0,0,20,0.1,3.8000000000000003,22,1020
2005,1,8,4,30,0,0,19,0.1,3.7,22,1020
2005,1,8,5,30,0,0,19,0.1,3.6,22,1020
2005,1,8,6,30,0,0,19,0.1,3.5,22,1020
2005,1,8,7,30,21,290,18,0.1,3.4000000000000004,22,1020
2005,1,8,8,30,68,0,18,0.1,3.3000000000000003,23,1020
2005,1,8,9,30,67,827,18,0.1,3,24,1020
2005,1,8,10,30,225,397,17,0.1,2.8000000000000003,24,1020
2005,1,8,11,30,87,916,17,0.1,2.7,24,1020
2005,1,8,12,30,89,926,17,0.1,2.7,24,1020
2005,1,8,13,30,88,912,17,0.1,2.8000000000000003,25,1020
2005,1,8,14,30,84,875,17,0.1,2.9000000000000004,24,1020
2005,1,8,15,30,74,799,16,0.1,3.1,24,1020
2005,1,8,16,30,56,640,16,0.1,3.3000000000000003,23,1020
2005,1,8,17,30,18,202,17,0.1,3.5,23,1020
2005,1,8,18,30,0,0,16,0.1,3.8000000000000003,23,1020
2005,1,8,19,30,0,0,16,0.1,4,23,1020
2005,1,8,20,30,0,0,16,0.1,4.1000000000000005,23,1020
2005,1,8,21,30,0,0,16,0.1,4.1000000000000005,23,1020
2005,1,8,22,30,0,0,16,0.1,3.9000000000000004,22,1020
2005,1,8,23,30,0,0,16,0.1,3.7,22,1020
2005,1,9,0,30,0,0,16,0.1,3.6,22,1020
2005,1,9,1,30,0,0,16,0.1,3.5,22,1020
2005,1,9,2,30,0,0,16,0.1,3.5,22,1020
2005,1,9,3,30,0,0,16,0.1,3.5,22,1020
2005,1,9,4,30,0,0,16,0.1,3.5,22,1020
2005,1,9,5,30,0,0,16,0.1,3.5,22,1020
2005,1,9,6,30,0,0,16,0.1,3.6,22,1020
2005,1,9,7,30,8,0,16,0.1,3.8000000000000003,23,1020
2005,1,9,8,30,79,0,17,0.1,4,23,1020
2005,1,9,9,30,75,803,17,0.1,4.3,24,1020
2005,1,9,10,30,83,880,17,0.1,4.6000000000000005,24,1020
2005,1,9,11,30,302,251,17,0.1,4.800000000000001,25,1020
2005,1,9,12,30,91,920,17,0.1,5.1000000000000005,24,1020
2005,1,9,13,30,96,892,17,0.1,5.2,24,1020
2005,1,9,14,30,88,861,17,0.1,5.1000000000000005,24,1020
2005,1,9,15,30,75,792,17,0.1,4.9,24,1020
2005,1,9,16,30,56,635,18,0.1,4.6000000000000005,23,1020
2005,1,9,17,30,28,0,18,0.1,4.3,23,1020
2005,1,9,18,30,0,0,17,0.1,4.2,23,1020
2005,1,9,19,30,0,0,17,0.1,4.2,23,1020
2005,1,9,20,30,0,0,17,0.1,4.3,23,1020
2005,1,9,21,30,0,0,17,0.1,4.3,22,1020
2005,1,9,22,30,0,0,17,0.1,4.5,22,1020
2005,1,9,23,30,0,0,17,0.1,4.6000000000000005,22,1020
2005,1,10,0,30,0,0,17,0.1,4.7,22,1020
2005,1,10,1,30,0,0,17,0.1,4.6000000000000005,22,1020
2005,1,10,2,30,0,0,17,0.1,4.5,22,1020
2005,1,10,3,30,0,0,17,0.1,4.3,22,1020
2005,1,10,4,30,0,0,17,0.1,4.1000000000000005,21,1020
2005,1,10,5,30,0,0,17,0.1,3.9000000000000004,21,1020
2005,1,10,6,30,0,0,17,0.1,3.9000000000000004,21,1020
2005,1,10,7,30,18,0,17,0.1,4,22,1020
2005,1,10,8,30,103,87,17,0.1,4.1000000000000005,22,1020
2005,1,10,9,30,66,840,17,0.1,4,23,1020
2005,1,10,10,30,79,896,16,0.1,3.9000000000000004,23,1020
2005,1,10,11,30,83,930,16,0.1,3.9000000000000004,23,1020
2005,1,10,12,30,84,942,16,0.1,3.9000000000000004,24,1020
2005,1,10,13,30,245,20,16,0.1,4.1000000000000005,24,1020
2005,1,10,14,30,203,479,16,0.1,4.2,24,1020
2005,1,10,15,30,66,829,16,0.1,4.4,23,1020
2005,1,10,16,30,50,681,17,0.1,4.5,23,1020
2005,1,10,17,30,18,269,17,0.1,4.6000000000000005,22,1020
2005,1,10,18,30,0,0,17,0.1,4.800000000000001,22,1020
2005,1,10,19,30,0,0,17,0.1,5.1000000000000005,22,1020
2005,1,10,20,30,0,0,17,0.1,5.300000000000001,22,1020
2005,1,10,21,30,0,0,17,0.1,5.300000000000001,22,1020
2005,1,10,22,30,0,0,17,0.1,5.300000000000001,22,1020
2005,1,10,23,30,0,0,17,0.1,5.1000000000000005,22,1020
2005,1,11,0,30,0,0,17,0.1,4.9,22,1020
2005,1,11,1,30,0,0,17,0.1,4.6000000000000005,22,1020
2005,1,11,2,30,0,0,17,0.1,4.4,22,1020
2005,1,11,3,30,0,0,17,0.1,4.4,22,1020
2005,1,11,4,30,0,0,17,0.1,4.4,22,1020
2005,1,11,5,30,0,0,17,0.1,4.4,22,1020
2005,1,11,6,30,0,0,17,0.1,4.6000000000000005,22,1020
2005,1,11,7,30,21,275,17,0.1,4.800000000000001,22,1020
2005,1,11,8,30,54,672,17,0.1,4.800000000000001,23,1020
2005,1,11,9,30,189,168,17,0.1,4.6000000000000005,23,1020
2005,1,11,10,30,209,469,17,0.1,4.3,24,1020
